"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best"
550.688,-0.842297,0.160508,-0.757921,-0.126705,-0.383389,584.503,-1.13159,-0.370276,-1.11776,-0.749645,-0.823049,590.896,-1.11360,-0.340779,-1.09837,-0.898870,-0.775780
553.795,-0.515725,0.621162,-0.408176,0.325483,0.0436235,587.960,-0.900283,0.110669,-0.891189,-0.353441,-0.456381,594.326,-0.867140,0.134254,-0.856335,-0.566810,-0.395869
556.902,-0.111009,1.05207,0.0170313,0.777697,0.505632,591.417,-0.559296,0.625968,-0.551475,0.133298,0.00938119,597.755,-0.510354,0.636576,-0.503911,-0.128733,0.0763440
560.009,0.344425,1.41224,0.477465,1.18402,0.951193,594.874,-0.116238,1.10468,-0.106112,0.651205,0.522661,601.185,-0.0551190,1.10141,-0.0503737,0.373637,0.586684
563.116,0.803198,1.68123,0.925287,1.51636,1.33420,598.332,0.391000,1.49028,0.400349,1.12849,1.01338,604.615,0.451331,1.47785,0.457787,0.874361,1.06624
566.223,1.20899,1.86074,1.31157,1.75323,1.62767,601.789,0.890420,1.75960,0.902588,1.50946,1.42040,608.044,0.939934,1.74469,0.948526,1.30816,1.45806
569.330,1.53420,1.96778,1.60987,1.90451,1.82810,605.246,1.32079,1.92267,1.33346,1.77281,1.71325,611.474,1.35550,1.91023,1.36453,1.63479,1.73640
572.437,1.76587,2.02481,1.81726,1.99140,1.95011,608.704,1.64309,2.00830,1.65353,1.92973,1.89608,614.904,1.65975,2.00013,1.67012,1.84855,1.90832
575.544,1.91317,2.05196,1.94491,2.03613,2.01631,612.161,1.85147,2.04728,1.86039,2.01121,1.99508,618.333,1.85951,2.04288,1.86870,1.97014,2.00066
578.651,1.99674,2.06351,2.01428,2.05680,2.04833,615.618,1.97002,2.06266,1.97633,2.04850,2.04159,621.763,1.97376,2.06068,1.97999,2.03005,2.04377
581.758,2.03905,2.06547,2.04751,2.06518,2.06213,619.075,2.02952,2.06544,2.03296,2.06315,2.06054,625.193,2.03090,2.06534,2.03422,2.05591,2.06127
584.865,2.05821,2.06547,2.06182,2.06541,2.06538,622.533,2.05552,2.06545,2.05707,2.06537,2.06531,628.622,2.05592,2.06542,2.05746,2.06531,2.06545
587.972,2.06527,2.06548,2.06531,2.06542,2.06538,625.990,2.06527,2.06547,2.06531,2.06543,2.06531,632.052,2.06528,2.06546,2.06533,2.06543,2.06545
