# Experiment IPTS-36897 Run 226658
# Reduction 2.10.0.dev1
# Run title: Sample_5-226658-1.
# Run start time: 2026-03-30T09:46:42.239173667
# Reduction time: Mon Apr 27 17:40:41 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.679749638902263, "wl_max": 9.59605584978334, "q_min": 0.008451636018185653, "q_max": 0.03026490612226481, "theta": 0.006453966445810647, "start_time": "2026-03-30T09:46:42.239173667", "experiment": "IPTS-36897", "run_number": "226658", "run_title": "Sample_5-226658-1.", "norm_run": 226559, "time": "Mon Apr 27 17:40:41 2026", "dq0": 0, "dq_over_q": 0.021792812209816322, "sequence_number": 1, "sequence_id": 226658, "q_summing": false, "specular_pixel": 150.5, "use_functional_bck": false, "scaling_factors": {"a": 4.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226658    226559    0.73957        2.67975        9.59606      0.0084       0.0302       4.0          0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0084623477868332    0.6129993022460164    0.1882031917982369    0.0001844183561726
  0.0085046595257674    0.7198317055077679    0.0487643956917831    0.0001853404479535
  0.0085471828233962    0.8357261155203327    0.0594766068285081    0.0001862671501932
  0.0085899187375132    0.7919624652515510    0.0550484565581714    0.0001871984859442
  0.0086328683312008    0.7911420495814147    0.0520293868979091    0.0001881344783739
  0.0086760326728568    0.8156680879311237    0.0542789033441340    0.0001890751507658
  0.0087194128362210    0.7084309807959225    0.0451109671364256    0.0001900205265196
  0.0087630099004021    0.8544994727289636    0.0557850812054317    0.0001909706291522
  0.0088068249499042    0.7983670329600340    0.0510722818807550    0.0001919254822980
  0.0088508590746537    0.7543417294403013    0.0472047765375158    0.0001928851097095
  0.0088951133700269    0.8036902103091862    0.0508860734413725    0.0001938495352580
  0.0089395889368771    0.7832202366072776    0.0486106619390749    0.0001948187829343
  0.0089842868815615    0.7493464538188701    0.0452012728059307    0.0001957928768490
  0.0090292083159693    0.7433918149676579    0.0447022790609378    0.0001967718412332
  0.0090743543575491    0.8561470132683701    0.0526458908872993    0.0001977557004394
  0.0091197261293369    0.8255979516018024    0.0498106552807119    0.0001987444789416
