# Experiment IPTS-36897 Run 226650
# Reduction 2.10.0.dev1
# Run title: Sample_5_-0.9V_full-226649-2.
# Run start time: 2026-03-30T06:55:43.622100667
# Reduction time: Mon Apr 27 17:40:38 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.679749638902263, "wl_max": 9.59605584978334, "q_min": 0.027426425702291878, "q_max": 0.09821272441963566, "theta": 0.02094516906380491, "start_time": "2026-03-30T06:55:43.622100667", "experiment": "IPTS-36897", "run_number": "226650", "run_title": "Sample_5_-0.9V_full-226649-2.", "norm_run": 226560, "time": "Mon Apr 27 17:40:38 2026", "dq0": 0, "dq_over_q": 0.02189916890304035, "sequence_number": 2, "sequence_id": 226649, "q_summing": false, "specular_pixel": 150.0, "use_functional_bck": false, "scaling_factors": {"a": 25.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226650    226560    2.40014        2.67975        9.59606      0.0274       0.0982       25.0         0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0275960870579050    0.0050855835988157    0.0023193079578219    0.0006043313715441
  0.0277340674931945    0.0140760809967874    0.0009861727507969    0.0006073530284018
  0.0278727378306605    0.0123001203894519    0.0008019774660824    0.0006103897935438
  0.0280121015198138    0.0137857943851473    0.0008605515699007    0.0006134417425115
  0.0281521620274129    0.0129928342217487    0.0008038999157865    0.0006165089512241
  0.0282929228375499    0.0119240682108809    0.0007335472976980    0.0006195914959802
  0.0284343874517377    0.0125289600619780    0.0007595839014178    0.0006226894534601
  0.0285765593889964    0.0138721227811868    0.0008233024885945    0.0006258029007274
  0.0287194421859414    0.0137936646388068    0.0008177562525972    0.0006289319152310
  0.0288630393968711    0.0130646178213957    0.0007733211151533    0.0006320765748072
  0.0290073545938554    0.0130102272659703    0.0007889932833873    0.0006352369576812
  0.0291523913668247    0.0129731711478472    0.0007570370676535    0.0006384131424696
  0.0292981533236588    0.0136173900538776    0.0007668296201885    0.0006416052081820
  0.0294446440902771    0.0124766219524184    0.0007052549382236    0.0006448132342229
  0.0295918673107285    0.0128149862879234    0.0007075941301590    0.0006480373003940
  0.0297398266472821    0.0119146086665984    0.0006613787219831    0.0006512774868960
  0.0298885257805185    0.0123334137250483    0.0006817988974373    0.0006545338743305
