# Experiment IPTS-36897 Run 226588
# Reduction 2.9.0rc3
# Run title: Sample1_post_D2O-only-226587-2.
# Run start time: 2026-03-28T12:37:24.891733667
# Reduction time: Sat Mar 28 08:49:04 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.7497817553595083, "wl_max": 9.498672022204286, "q_min": 0.027707274027078788, "q_max": 0.0957102534045114, "theta": 0.020944914026800023, "start_time": "2026-03-28T12:37:24.891733667", "experiment": "IPTS-36897", "run_number": "226588", "run_title": "Sample1_post_D2O-only-226587-2.", "norm_run": 226560, "time": "Sat Mar 28 08:49:04 2026", "dq0": 0, "dq_over_q": 0.021917250696791273, "sequence_number": 2, "sequence_id": 226587, "q_summing": false, "specular_pixel": 149.5, "use_functional_bck": false, "scaling_factors": {"a": 25.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226588    226560    2.40011        2.74978        9.49867      0.0277       0.0957       25.0         0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0280121015198138    0.0101988603557935    0.0006902668995963    0.0006139482515537
  0.0281521620274129    0.0099583099512588    0.0006496121363675    0.0006170179928115
  0.0282929228375499    0.0090603958521093    0.0006109486106149    0.0006201030827756
  0.0284343874517377    0.0079520856810625    0.0005468287795454    0.0006232035981894
  0.0285765593889964    0.0076535689785312    0.0005249230372220    0.0006263196161804
  0.0287194421859414    0.0076887325434420    0.0005356928644588    0.0006294512142613
  0.0288630393968711    0.0071283476672904    0.0004810335104540    0.0006325984703326
  0.0290073545938554    0.0073650701993962    0.0005103188782699    0.0006357614626842
  0.0291523913668247    0.0066488508903007    0.0004560628741916    0.0006389402699977
  0.0292981533236588    0.0061792754854569    0.0004260031429214    0.0006421349713477
  0.0294446440902771    0.0059237982877843    0.0004088046704116    0.0006453456462044
  0.0295918673107285    0.0056903123255315    0.0003896469746795    0.0006485723744354
  0.0297398266472821    0.0050479896753211    0.0003513790702022    0.0006518152363076
  0.0298885257805185    0.0050443755338996    0.0003614747678137    0.0006550743124891
  0.0300379684094211    0.0048833169529292    0.0003400132454857    0.0006583496840516
  0.0301881582514682    0.0050772399460899    0.0003511342077083    0.0006616414324718
  0.0303390990427256    0.0050827679495264    0.0003553821000996    0.0006649496396342
  0.0304907945379392    0.0042408969902193    0.0003100094148823    0.0006682743878324
  0.0306432485106289    0.0047348831512648    0.0003408347522744    0.0006716157597715
  0.0307964647531820    0.0039803715085856    0.0002777587925385    0.0006749738385704
  0.0309504470769479    0.0038302648510650    0.0002844847871063    0.0006783487077632
  0.0311051993123327    0.0035878205420955    0.0002631001208800    0.0006817404513021
  0.0312607253088943    0.0038757840430168    0.0002847083296996    0.0006851491535586
  0.0314170289354388    0.0036993339397357    0.0002650431072649    0.0006885748993264
  0.0315741140801160    0.0030881995544291    0.0002383322538106    0.0006920177738230
  0.0317319846505165    0.0028899772090028    0.0002145364493860    0.0006954778626921
  0.0318906445737691    0.0026673706962253    0.0002176956538283    0.0006989552520056
  0.0320500977966380    0.0026670866815073    0.0002170160655532    0.0007024500282656
  0.0322103482856212    0.0023736749937003    0.0001975495218502    0.0007059622784069
  0.0323714000270493    0.0017538627772415    0.0001663652631066    0.0007094920897990
  0.0325332570271845    0.0017523900803632    0.0001594270510335    0.0007130395502479
  0.0326959233123204    0.0014718466252497    0.0001498757121258    0.0007166047479992
  0.0328594029288820    0.0012113733247906    0.0001382131938578    0.0007201877717392
  0.0330236999435264    0.0012613189972590    0.0001340036675240    0.0007237887105979
  0.0331888184432441    0.0008818603828773    0.0001256827926358    0.0007274076541509
  0.0333547625354603    0.0007845617861313    0.0001195131629033    0.0007310446924216
  0.0335215363481376    0.0008732097444712    0.0001154498925981    0.0007346999158837
  0.0336891440298783    0.0006278884975145    0.0001033078927859    0.0007383734154632
  0.0338575897500276    0.0007900925008589    0.0001152929957839    0.0007420652825405
  0.0340268776987778    0.0008114049899501    0.0001170317652490    0.0007457756089532
  0.0341970120872717    0.0007812938042821    0.0001040805689602    0.0007495044869979
  0.0343679971477080    0.0007494454602035    0.0000995597603742    0.0007532520094329
  0.0345398371334466    0.0006557917883037    0.0000994440809382    0.0007570182694801
  0.0347125363191138    0.0006221210186912    0.0000957017735414    0.0007608033608275
  0.0348860990007094    0.0008777919396152    0.0001051001446160    0.0007646073776316
  0.0350605294957129    0.0008635514342758    0.0001041254250066    0.0007684304145198
  0.0352358321431915    0.0010721121429650    0.0001035346500395    0.0007722725665924
  0.0354120113039074    0.0008594463376757    0.0000898303728312    0.0007761339294253
  0.0355890713604269    0.0010741880304134    0.0001005685863463    0.0007800145990725
  0.0357670167172291    0.0007992730322393    0.0000966642180149    0.0007839146720678
  0.0359458518008152    0.0008572738609333    0.0001048639616755    0.0007878342454282
  0.0361255810598193    0.0011093148585694    0.0001030142329175    0.0007917734166553
  0.0363062089651184    0.0010659189245288    0.0000971547193983    0.0007957322837386
  0.0364877400099440    0.0008383167020935    0.0000932038992291    0.0007997109451573
  0.0366701787099937    0.0010476490366723    0.0000979394463237    0.0008037094998831
  0.0368535296035436    0.0010705884629233    0.0000978186009419    0.0008077280473825
  0.0370377972515614    0.0009337108541622    0.0000851955457051    0.0008117666876194
  0.0372229862378192    0.0011718180751877    0.0000932019444498    0.0008158255210575
  0.0374091011690083    0.0009456894501116    0.0000878689372563    0.0008199046486628
  0.0375961466748533    0.0010058284042707    0.0000880892561964    0.0008240041719061
  0.0377841274082275    0.0009701440224542    0.0000811384190821    0.0008281241927656
  0.0379730480452687    0.0011528904351211    0.0000881853808134    0.0008322648137295
  0.0381629132854950    0.0011384946721788    0.0000893152204778    0.0008364261377981
  0.0383537278519225    0.0012583718629278    0.0000944454638600    0.0008406082684871
  0.0385454964911821    0.0011448403438464    0.0000821588147422    0.0008448113098295
  0.0387382239736380    0.0010527265912676    0.0000898794085138    0.0008490353663787
  0.0389319150935062    0.0011971903678548    0.0000913490636668    0.0008532805432106
  0.0391265746689737    0.0011840199565796    0.0000893971715066    0.0008575469459266
  0.0393222075423186    0.0012004040228176    0.0000857831010267    0.0008618346806563
  0.0395188185800302    0.0011116280049301    0.0000827641054059    0.0008661438540595
  0.0397164126729303    0.0012126719599126    0.0000825723802616    0.0008704745733298
  0.0399149947362950    0.0010908325328758    0.0000790466704438    0.0008748269461965
  0.0401145697099764    0.0012382212265671    0.0000816979357551    0.0008792010809275
  0.0403151425585263    0.0010894326093756    0.0000812244772899    0.0008835970863321
  0.0405167182713189    0.0010428458261332    0.0000775131737218    0.0008880150717638
