"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best","M3 z","M3 rho 68 percent lower","M3 rho 68 percent upper","M3 rho 95 percent lower","M3 rho 95 percent upper","M3 rho best","M4 z","M4 rho 68 percent lower","M4 rho 68 percent upper","M4 rho 95 percent lower","M4 rho 95 percent upper","M4 rho best","M5 z","M5 rho 68 percent lower","M5 rho 68 percent upper","M5 rho 95 percent lower","M5 rho 95 percent upper","M5 rho best"
-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-495.598,5.99783,6.02211,5.98928,6.03230,6.00956,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890,-505.055,6.00005,6.02322,5.98787,6.03129,6.01890
-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-492.850,5.98701,6.01238,5.97860,6.02337,5.99741,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724,-502.256,5.98792,6.01287,5.97698,6.02043,6.00724
-490.102,5.97446,6.00098,5.96610,6.01255,5.98326,-490.102,5.97446,6.00098,5.96610,6.01255,5.98326,-490.102,5.97446,6.00098,5.96610,6.01255,5.98326,-499.456,5.97351,5.99981,5.96317,6.00843,5.99291,-499.456,5.97351,5.99981,5.96317,6.00843,5.99291,-499.456,5.97351,5.99981,5.96317,6.00843,5.99291
-487.354,5.96018,5.98706,5.95172,5.99969,5.96717,-487.354,5.96018,5.98706,5.95172,5.99969,5.96717,-487.354,5.96018,5.98706,5.95172,5.99969,5.96717,-496.657,5.95807,5.98424,5.94691,5.99245,5.97576,-496.657,5.95807,5.98424,5.94691,5.99245,5.97576,-496.657,5.95807,5.98424,5.94691,5.99245,5.97576
-484.606,5.94406,5.97062,5.93438,5.98473,5.94933,-484.606,5.94406,5.97062,5.93438,5.98473,5.94933,-484.606,5.94406,5.97062,5.93438,5.98473,5.94933,-493.857,5.94053,5.96684,5.92886,5.97507,5.95574,-493.857,5.94053,5.96684,5.92886,5.97507,5.95574,-493.857,5.94053,5.96684,5.92886,5.97507,5.95574
-481.858,5.92622,5.95218,5.91455,5.96769,5.93001,-481.858,5.92622,5.95218,5.91455,5.96769,5.93001,-481.858,5.92622,5.95218,5.91455,5.96769,5.93001,-491.058,5.92119,5.94596,5.90932,5.95541,5.93297,-491.058,5.92119,5.94596,5.90932,5.95541,5.93297,-491.058,5.92119,5.94596,5.90932,5.95541,5.93297
-479.110,5.90697,5.93234,5.89319,5.94902,5.90961,-479.110,5.90697,5.93234,5.89319,5.94902,5.90961,-479.110,5.90697,5.93234,5.89319,5.94902,5.90961,-488.258,5.89785,5.92192,5.88811,5.93415,5.90774,-488.258,5.89785,5.92192,5.88811,5.93415,5.90774,-488.258,5.89785,5.92192,5.88811,5.93415,5.90774
-476.362,5.88511,5.91196,5.87074,5.92930,5.88859,-476.362,5.88511,5.91196,5.87074,5.92930,5.88859,-476.362,5.88511,5.91196,5.87074,5.92930,5.88859,-485.459,5.87375,5.89935,5.86455,5.91066,5.88053,-485.459,5.87375,5.89935,5.86455,5.91066,5.88053,-485.459,5.87375,5.89935,5.86455,5.91066,5.88053
-473.614,5.86084,5.89132,5.84822,5.90809,5.86747,-473.614,5.86084,5.89132,5.84822,5.90809,5.86747,-473.614,5.86084,5.89132,5.84822,5.90809,5.86747,-482.659,5.84776,5.87372,5.83986,5.88537,5.85195,-482.659,5.84776,5.87372,5.83986,5.88537,5.85195,-482.659,5.84776,5.87372,5.83986,5.88537,5.85195
-470.865,5.83673,5.87045,5.82607,5.88573,5.84680,-470.865,5.83673,5.87045,5.82607,5.88573,5.84680,-470.865,5.83673,5.87045,5.82607,5.88573,5.84680,-479.860,5.82042,5.84874,5.81287,5.85889,5.82278,-479.860,5.82042,5.84874,5.81287,5.85889,5.82278,-479.860,5.82042,5.84874,5.81287,5.85889,5.82278
