"M0 z","M0 rho 68 percent lower","M0 rho 68 percent upper","M0 rho 95 percent lower","M0 rho 95 percent upper","M0 rho best","M1 z","M1 rho 68 percent lower","M1 rho 68 percent upper","M1 rho 95 percent lower","M1 rho 95 percent upper","M1 rho best","M2 z","M2 rho 68 percent lower","M2 rho 68 percent upper","M2 rho 95 percent lower","M2 rho 95 percent upper","M2 rho best","M3 z","M3 rho 68 percent lower","M3 rho 68 percent upper","M3 rho 95 percent lower","M3 rho 95 percent upper","M3 rho best","M4 z","M4 rho 68 percent lower","M4 rho 68 percent upper","M4 rho 95 percent lower","M4 rho 95 percent upper","M4 rho best","M5 z","M5 rho 68 percent lower","M5 rho 68 percent upper","M5 rho 95 percent lower","M5 rho 95 percent upper","M5 rho best"
-347.202,6.52226,6.53512,6.51613,6.53866,6.52465,-347.202,6.52226,6.53512,6.51613,6.53866,6.52465,-347.202,6.52226,6.53512,6.51613,6.53866,6.52465,-353.883,6.51761,6.53024,6.51161,6.53419,6.51916,-353.883,6.51761,6.53024,6.51161,6.53419,6.51916,-353.883,6.51761,6.53024,6.51161,6.53419,6.51916
-344.454,6.52238,6.53519,6.51618,6.53870,6.52467,-344.454,6.52238,6.53519,6.51618,6.53870,6.52467,-344.454,6.52238,6.53519,6.51618,6.53870,6.52467,-351.084,6.51920,6.53166,6.51295,6.53520,6.52073,-351.084,6.51920,6.53166,6.51295,6.53520,6.52073,-351.084,6.51920,6.53166,6.51295,6.53520,6.52073
-341.706,6.52246,6.53524,6.51621,6.53872,6.52468,-341.706,6.52246,6.53524,6.51621,6.53872,6.52468,-341.706,6.52246,6.53524,6.51621,6.53872,6.52468,-348.284,6.52027,6.53271,6.51394,6.53610,6.52188,-348.284,6.52027,6.53271,6.51394,6.53610,6.52188,-348.284,6.52027,6.53271,6.51394,6.53610,6.52188
-338.958,6.52248,6.53526,6.51623,6.53873,6.52468,-338.958,6.52248,6.53526,6.51623,6.53873,6.52468,-338.958,6.52248,6.53526,6.51623,6.53873,6.52468,-345.485,6.52105,6.53349,6.51464,6.53685,6.52272,-345.485,6.52105,6.53349,6.51464,6.53685,6.52272,-345.485,6.52105,6.53349,6.51464,6.53685,6.52272
-336.210,6.52249,6.53528,6.51624,6.53874,6.52468,-336.210,6.52249,6.53528,6.51624,6.53874,6.52468,-336.210,6.52249,6.53528,6.51624,6.53874,6.52468,-342.685,6.52156,6.53405,6.51515,6.53743,6.52333,-342.685,6.52156,6.53405,6.51515,6.53743,6.52333,-342.685,6.52156,6.53405,6.51515,6.53743,6.52333
-333.462,6.52250,6.53529,6.51624,6.53874,6.52468,-333.462,6.52250,6.53529,6.51624,6.53874,6.52468,-333.462,6.52250,6.53529,6.51624,6.53874,6.52468,-339.886,6.52189,6.53446,6.51551,6.53784,6.52376,-339.886,6.52189,6.53446,6.51551,6.53784,6.52376,-339.886,6.52189,6.53446,6.51551,6.53784,6.52376
-330.714,6.52250,6.53529,6.51624,6.53874,6.52468,-330.714,6.52250,6.53529,6.51624,6.53874,6.52468,-330.714,6.52250,6.53529,6.51624,6.53874,6.52468,-337.086,6.52211,6.53476,6.51575,6.53813,6.52406,-337.086,6.52211,6.53476,6.51575,6.53813,6.52406,-337.086,6.52211,6.53476,6.51575,6.53813,6.52406
-327.965,6.52251,6.53530,6.51625,6.53874,6.52468,-327.965,6.52251,6.53530,6.51625,6.53874,6.52468,-327.965,6.52251,6.53530,6.51625,6.53874,6.52468,-334.287,6.52222,6.53496,6.51592,6.53833,6.52427,-334.287,6.52222,6.53496,6.51592,6.53833,6.52427,-334.287,6.52222,6.53496,6.51592,6.53833,6.52427
-325.217,6.52251,6.53530,6.51625,6.53874,6.52468,-325.217,6.52251,6.53530,6.51625,6.53874,6.52468,-325.217,6.52251,6.53530,6.51625,6.53874,6.52468,-331.487,6.52232,6.53506,6.51603,6.53847,6.52441,-331.487,6.52232,6.53506,6.51603,6.53847,6.52441,-331.487,6.52232,6.53506,6.51603,6.53847,6.52441
-322.469,6.52251,6.53530,6.51625,6.53874,6.52468,-322.469,6.52251,6.53530,6.51625,6.53874,6.52468,-322.469,6.52251,6.53530,6.51625,6.53874,6.52468,-328.688,6.52239,6.53513,6.51611,6.53857,6.52451,-328.688,6.52239,6.53513,6.51611,6.53857,6.52451,-328.688,6.52239,6.53513,6.51611,6.53857,6.52451
-319.721,6.52251,6.53530,6.51625,6.53874,6.52468,-319.721,6.52251,6.53530,6.51625,6.53874,6.52468,-319.721,6.52251,6.53530,6.51625,6.53874,6.52468,-325.889,6.52243,6.53519,6.51616,6.53863,6.52457,-325.889,6.52243,6.53519,6.51616,6.53863,6.52457,-325.889,6.52243,6.53519,6.51616,6.53863,6.52457
-316.973,6.52251,6.53530,6.51625,6.53874,6.52468,-316.973,6.52251,6.53530,6.51625,6.53874,6.52468,-316.973,6.52251,6.53530,6.51625,6.53874,6.52468,-323.089,6.52246,6.53523,6.51619,6.53867,6.52461,-323.089,6.52246,6.53523,6.51619,6.53867,6.52461,-323.089,6.52246,6.53523,6.51619,6.53867,6.52461
-314.225,6.52251,6.53530,6.51625,6.53874,6.52468,-314.225,6.52251,6.53530,6.51625,6.53874,6.52468,-314.225,6.52251,6.53530,6.51625,6.53874,6.52468,-320.290,6.52248,6.53525,6.51621,6.53870,6.52464,-320.290,6.52248,6.53525,6.51621,6.53870,6.52464,-320.290,6.52248,6.53525,6.51621,6.53870,6.52464
-311.477,6.52251,6.53530,6.51625,6.53874,6.52468,-311.477,6.52251,6.53530,6.51625,6.53874,6.52468,-311.477,6.52251,6.53530,6.51625,6.53874,6.52468,-317.490,6.52249,6.53527,6.51623,6.53871,6.52466,-317.490,6.52249,6.53527,6.51623,6.53871,6.52466,-317.490,6.52249,6.53527,6.51623,6.53871,6.52466
-308.729,6.52251,6.53530,6.51625,6.53874,6.52468,-308.729,6.52251,6.53530,6.51625,6.53874,6.52468,-308.729,6.52251,6.53530,6.51625,6.53874,6.52468,-314.691,6.52250,6.53528,6.51623,6.53872,6.52467,-314.691,6.52250,6.53528,6.51623,6.53872,6.52467,-314.691,6.52250,6.53528,6.51623,6.53872,6.52467
-305.981,6.52251,6.53530,6.51625,6.53874,6.52468,-305.981,6.52251,6.53530,6.51625,6.53874,6.52468,-305.981,6.52251,6.53530,6.51625,6.53874,6.52468,-311.891,6.52250,6.53529,6.51624,6.53873,6.52467,-311.891,6.52250,6.53529,6.51624,6.53873,6.52467,-311.891,6.52250,6.53529,6.51624,6.53873,6.52467
-303.233,6.52251,6.53530,6.51625,6.53874,6.52468,-303.233,6.52251,6.53530,6.51625,6.53874,6.52468,-303.233,6.52251,6.53530,6.51625,6.53874,6.52468,-309.092,6.52250,6.53529,6.51624,6.53874,6.52468,-309.092,6.52250,6.53529,6.51624,6.53874,6.52468,-309.092,6.52250,6.53529,6.51624,6.53874,6.52468
-300.485,6.52251,6.53530,6.51625,6.53874,6.52468,-300.485,6.52251,6.53530,6.51625,6.53874,6.52468,-300.485,6.52251,6.53530,6.51625,6.53874,6.52468,-306.292,6.52251,6.53529,6.51624,6.53874,6.52468,-306.292,6.52251,6.53529,6.51624,6.53874,6.52468,-306.292,6.52251,6.53529,6.51624,6.53874,6.52468
-297.737,6.52251,6.53530,6.51625,6.53874,6.52468,-297.737,6.52251,6.53530,6.51625,6.53874,6.52468,-297.737,6.52251,6.53530,6.51625,6.53874,6.52468,-303.493,6.52251,6.53530,6.51625,6.53874,6.52468,-303.493,6.52251,6.53530,6.51625,6.53874,6.52468,-303.493,6.52251,6.53530,6.51625,6.53874,6.52468
-294.989,6.52251,6.53530,6.51625,6.53874,6.52468,-294.989,6.52251,6.53530,6.51625,6.53874,6.52468,-294.989,6.52251,6.53530,6.51625,6.53874,6.52468,-300.693,6.52251,6.53530,6.51625,6.53874,6.52468,-300.693,6.52251,6.53530,6.51625,6.53874,6.52468,-300.693,6.52251,6.53530,6.51625,6.53874,6.52468
-292.240,6.52251,6.53530,6.51625,6.53874,6.52468,-292.240,6.52251,6.53530,6.51625,6.53874,6.52468,-292.240,6.52251,6.53530,6.51625,6.53874,6.52468,-297.894,6.52251,6.53530,6.51625,6.53874,6.52468,-297.894,6.52251,6.53530,6.51625,6.53874,6.52468,-297.894,6.52251,6.53530,6.51625,6.53874,6.52468
-289.492,6.52251,6.53530,6.51625,6.53874,6.52468,-289.492,6.52251,6.53530,6.51625,6.53874,6.52468,-289.492,6.52251,6.53530,6.51625,6.53874,6.52468,-295.094,6.52251,6.53530,6.51625,6.53874,6.52468,-295.094,6.52251,6.53530,6.51625,6.53874,6.52468,-295.094,6.52251,6.53530,6.51625,6.53874,6.52468
-286.744,6.52251,6.53530,6.51625,6.53874,6.52468,-286.744,6.52251,6.53530,6.51625,6.53874,6.52468,-286.744,6.52251,6.53530,6.51625,6.53874,6.52468,-292.295,6.52251,6.53530,6.51625,6.53874,6.52468,-292.295,6.52251,6.53530,6.51625,6.53874,6.52468,-292.295,6.52251,6.53530,6.51625,6.53874,6.52468
-283.996,6.52251,6.53530,6.51625,6.53874,6.52468,-283.996,6.52251,6.53530,6.51625,6.53874,6.52468,-283.996,6.52251,6.53530,6.51625,6.53874,6.52468,-289.495,6.52251,6.53530,6.51625,6.53874,6.52468,-289.495,6.52251,6.53530,6.51625,6.53874,6.52468,-289.495,6.52251,6.53530,6.51625,6.53874,6.52468
-281.248,6.52251,6.53530,6.51625,6.53874,6.52468,-281.248,6.52251,6.53530,6.51625,6.53874,6.52468,-281.248,6.52251,6.53530,6.51625,6.53874,6.52468,-286.696,6.52251,6.53530,6.51625,6.53874,6.52468,-286.696,6.52251,6.53530,6.51625,6.53874,6.52468,-286.696,6.52251,6.53530,6.51625,6.53874,6.52468
-278.500,6.52251,6.53530,6.51625,6.53874,6.52468,-278.500,6.52251,6.53530,6.51625,6.53874,6.52468,-278.500,6.52251,6.53530,6.51625,6.53874,6.52468,-283.896,6.52251,6.53530,6.51625,6.53874,6.52468,-283.896,6.52251,6.53530,6.51625,6.53874,6.52468,-283.896,6.52251,6.53530,6.51625,6.53874,6.52468
-275.752,6.52251,6.53530,6.51625,6.53874,6.52468,-275.752,6.52251,6.53530,6.51625,6.53874,6.52468,-275.752,6.52251,6.53530,6.51625,6.53874,6.52468,-281.097,6.52251,6.53530,6.51625,6.53874,6.52468,-281.097,6.52251,6.53530,6.51625,6.53874,6.52468,-281.097,6.52251,6.53530,6.51625,6.53874,6.52468
-273.004,6.52251,6.53530,6.51625,6.53874,6.52468,-273.004,6.52251,6.53530,6.51625,6.53874,6.52468,-273.004,6.52251,6.53530,6.51625,6.53874,6.52468,-278.297,6.52251,6.53530,6.51625,6.53874,6.52468,-278.297,6.52251,6.53530,6.51625,6.53874,6.52468,-278.297,6.52251,6.53530,6.51625,6.53874,6.52468
-270.256,6.52251,6.53530,6.51625,6.53874,6.52468,-270.256,6.52251,6.53530,6.51625,6.53874,6.52468,-270.256,6.52251,6.53530,6.51625,6.53874,6.52468,-275.498,6.52251,6.53530,6.51625,6.53874,6.52468,-275.498,6.52251,6.53530,6.51625,6.53874,6.52468,-275.498,6.52251,6.53530,6.51625,6.53874,6.52468
-267.508,6.52251,6.53530,6.51625,6.53874,6.52468,-267.508,6.52251,6.53530,6.51625,6.53874,6.52468,-267.508,6.52251,6.53530,6.51625,6.53874,6.52468,-272.698,6.52251,6.53530,6.51625,6.53874,6.52468,-272.698,6.52251,6.53530,6.51625,6.53874,6.52468,-272.698,6.52251,6.53530,6.51625,6.53874,6.52468
-264.760,6.52251,6.53530,6.51625,6.53874,6.52468,-264.760,6.52251,6.53530,6.51625,6.53874,6.52468,-264.760,6.52251,6.53530,6.51625,6.53874,6.52468,-269.899,6.52251,6.53530,6.51625,6.53874,6.52468,-269.899,6.52251,6.53530,6.51625,6.53874,6.52468,-269.899,6.52251,6.53530,6.51625,6.53874,6.52468
-262.012,6.52251,6.53530,6.51625,6.53874,6.52468,-262.012,6.52251,6.53530,6.51625,6.53874,6.52468,-262.012,6.52251,6.53530,6.51625,6.53874,6.52468,-267.099,6.52251,6.53530,6.51625,6.53874,6.52468,-267.099,6.52251,6.53530,6.51625,6.53874,6.52468,-267.099,6.52251,6.53530,6.51625,6.53874,6.52468
-259.264,6.52251,6.53530,6.51625,6.53874,6.52468,-259.264,6.52251,6.53530,6.51625,6.53874,6.52468,-259.264,6.52251,6.53530,6.51625,6.53874,6.52468,-264.300,6.52251,6.53530,6.51625,6.53874,6.52468,-264.300,6.52251,6.53530,6.51625,6.53874,6.52468,-264.300,6.52251,6.53530,6.51625,6.53874,6.52468
-256.515,6.52251,6.53530,6.51625,6.53874,6.52468,-256.515,6.52251,6.53530,6.51625,6.53874,6.52468,-256.515,6.52251,6.53530,6.51625,6.53874,6.52468,-261.500,6.52251,6.53530,6.51625,6.53874,6.52468,-261.500,6.52251,6.53530,6.51625,6.53874,6.52468,-261.500,6.52251,6.53530,6.51625,6.53874,6.52468
-253.767,6.52251,6.53530,6.51625,6.53874,6.52468,-253.767,6.52251,6.53530,6.51625,6.53874,6.52468,-253.767,6.52251,6.53530,6.51625,6.53874,6.52468,-258.701,6.52251,6.53530,6.51625,6.53874,6.52468,-258.701,6.52251,6.53530,6.51625,6.53874,6.52468,-258.701,6.52251,6.53530,6.51625,6.53874,6.52468
-251.019,6.52251,6.53530,6.51625,6.53874,6.52468,-251.019,6.52251,6.53530,6.51625,6.53874,6.52468,-251.019,6.52251,6.53530,6.51625,6.53874,6.52468,-255.902,6.52251,6.53530,6.51625,6.53874,6.52468,-255.902,6.52251,6.53530,6.51625,6.53874,6.52468,-255.902,6.52251,6.53530,6.51625,6.53874,6.52468
-248.271,6.52251,6.53530,6.51625,6.53874,6.52468,-248.271,6.52251,6.53530,6.51625,6.53874,6.52468,-248.271,6.52251,6.53530,6.51625,6.53874,6.52468,-253.102,6.52251,6.53530,6.51625,6.53874,6.52468,-253.102,6.52251,6.53530,6.51625,6.53874,6.52468,-253.102,6.52251,6.53530,6.51625,6.53874,6.52468
-245.523,6.52251,6.53530,6.51625,6.53874,6.52468,-245.523,6.52251,6.53530,6.51625,6.53874,6.52468,-245.523,6.52251,6.53530,6.51625,6.53874,6.52468,-250.303,6.52251,6.53530,6.51625,6.53874,6.52468,-250.303,6.52251,6.53530,6.51625,6.53874,6.52468,-250.303,6.52251,6.53530,6.51625,6.53874,6.52468
-242.775,6.52251,6.53530,6.51625,6.53874,6.52468,-242.775,6.52251,6.53530,6.51625,6.53874,6.52468,-242.775,6.52251,6.53530,6.51625,6.53874,6.52468,-247.503,6.52251,6.53530,6.51625,6.53874,6.52468,-247.503,6.52251,6.53530,6.51625,6.53874,6.52468,-247.503,6.52251,6.53530,6.51625,6.53874,6.52468
-240.027,6.52251,6.53530,6.51625,6.53874,6.52468,-240.027,6.52251,6.53530,6.51625,6.53874,6.52468,-240.027,6.52251,6.53530,6.51625,6.53874,6.52468,-244.704,6.52251,6.53530,6.51625,6.53874,6.52468,-244.704,6.52251,6.53530,6.51625,6.53874,6.52468,-244.704,6.52251,6.53530,6.51625,6.53874,6.52468
-237.279,6.52251,6.53530,6.51625,6.53874,6.52468,-237.279,6.52251,6.53530,6.51625,6.53874,6.52468,-237.279,6.52251,6.53530,6.51625,6.53874,6.52468,-241.904,6.52251,6.53530,6.51625,6.53874,6.52468,-241.904,6.52251,6.53530,6.51625,6.53874,6.52468,-241.904,6.52251,6.53530,6.51625,6.53874,6.52468
-234.531,6.52251,6.53530,6.51625,6.53874,6.52468,-234.531,6.52251,6.53530,6.51625,6.53874,6.52468,-234.531,6.52251,6.53530,6.51625,6.53874,6.52468,-239.105,6.52251,6.53530,6.51625,6.53874,6.52468,-239.105,6.52251,6.53530,6.51625,6.53874,6.52468,-239.105,6.52251,6.53530,6.51625,6.53874,6.52468
-231.783,6.52251,6.53530,6.51625,6.53874,6.52468,-231.783,6.52251,6.53530,6.51625,6.53874,6.52468,-231.783,6.52251,6.53530,6.51625,6.53874,6.52468,-236.305,6.52251,6.53530,6.51625,6.53874,6.52468,-236.305,6.52251,6.53530,6.51625,6.53874,6.52468,-236.305,6.52251,6.53530,6.51625,6.53874,6.52468
-229.035,6.52251,6.53530,6.51625,6.53874,6.52468,-229.035,6.52251,6.53530,6.51625,6.53874,6.52468,-229.035,6.52251,6.53530,6.51625,6.53874,6.52468,-233.506,6.52251,6.53530,6.51625,6.53874,6.52468,-233.506,6.52251,6.53530,6.51625,6.53874,6.52468,-233.506,6.52251,6.53530,6.51625,6.53874,6.52468
-226.287,6.52251,6.53530,6.51625,6.53874,6.52468,-226.287,6.52251,6.53530,6.51625,6.53874,6.52468,-226.287,6.52251,6.53530,6.51625,6.53874,6.52468,-230.706,6.52251,6.53530,6.51625,6.53874,6.52468,-230.706,6.52251,6.53530,6.51625,6.53874,6.52468,-230.706,6.52251,6.53530,6.51625,6.53874,6.52468
-223.539,6.52251,6.53530,6.51625,6.53874,6.52468,-223.539,6.52251,6.53530,6.51625,6.53874,6.52468,-223.539,6.52251,6.53530,6.51625,6.53874,6.52468,-227.907,6.52251,6.53530,6.51625,6.53874,6.52468,-227.907,6.52251,6.53530,6.51625,6.53874,6.52468,-227.907,6.52251,6.53530,6.51625,6.53874,6.52468
-220.790,6.52251,6.53530,6.51625,6.53874,6.52468,-220.790,6.52251,6.53530,6.51625,6.53874,6.52468,-220.790,6.52251,6.53530,6.51625,6.53874,6.52468,-225.107,6.52251,6.53530,6.51625,6.53874,6.52468,-225.107,6.52251,6.53530,6.51625,6.53874,6.52468,-225.107,6.52251,6.53530,6.51625,6.53874,6.52468
-218.042,6.52251,6.53530,6.51625,6.53874,6.52468,-218.042,6.52251,6.53530,6.51625,6.53874,6.52468,-218.042,6.52251,6.53530,6.51625,6.53874,6.52468,-222.308,6.52251,6.53530,6.51625,6.53874,6.52468,-222.308,6.52251,6.53530,6.51625,6.53874,6.52468,-222.308,6.52251,6.53530,6.51625,6.53874,6.52468
-215.294,6.52251,6.53530,6.51625,6.53874,6.52468,-215.294,6.52251,6.53530,6.51625,6.53874,6.52468,-215.294,6.52251,6.53530,6.51625,6.53874,6.52468,-219.508,6.52251,6.53530,6.51625,6.53874,6.52468,-219.508,6.52251,6.53530,6.51625,6.53874,6.52468,-219.508,6.52251,6.53530,6.51625,6.53874,6.52468
-212.546,6.52251,6.53530,6.51625,6.53874,6.52468,-212.546,6.52251,6.53530,6.51625,6.53874,6.52468,-212.546,6.52251,6.53530,6.51625,6.53874,6.52468,-216.709,6.52251,6.53530,6.51625,6.53874,6.52468,-216.709,6.52251,6.53530,6.51625,6.53874,6.52468,-216.709,6.52251,6.53530,6.51625,6.53874,6.52468
-209.798,6.52251,6.53530,6.51625,6.53874,6.52468,-209.798,6.52251,6.53530,6.51625,6.53874,6.52468,-209.798,6.52251,6.53530,6.51625,6.53874,6.52468,-213.909,6.52251,6.53530,6.51625,6.53874,6.52468,-213.909,6.52251,6.53530,6.51625,6.53874,6.52468,-213.909,6.52251,6.53530,6.51625,6.53874,6.52468
-207.050,6.52251,6.53530,6.51625,6.53874,6.52468,-207.050,6.52251,6.53530,6.51625,6.53874,6.52468,-207.050,6.52251,6.53530,6.51625,6.53874,6.52468,-211.110,6.52251,6.53530,6.51625,6.53874,6.52468,-211.110,6.52251,6.53530,6.51625,6.53874,6.52468,-211.110,6.52251,6.53530,6.51625,6.53874,6.52468
-204.302,6.52251,6.53530,6.51625,6.53874,6.52468,-204.302,6.52251,6.53530,6.51625,6.53874,6.52468,-204.302,6.52251,6.53530,6.51625,6.53874,6.52468,-208.310,6.52251,6.53530,6.51625,6.53874,6.52468,-208.310,6.52251,6.53530,6.51625,6.53874,6.52468,-208.310,6.52251,6.53530,6.51625,6.53874,6.52468
-201.554,6.52251,6.53530,6.51625,6.53874,6.52468,-201.554,6.52251,6.53530,6.51625,6.53874,6.52468,-201.554,6.52251,6.53530,6.51625,6.53874,6.52468,-205.511,6.52251,6.53530,6.51625,6.53874,6.52468,-205.511,6.52251,6.53530,6.51625,6.53874,6.52468,-205.511,6.52251,6.53530,6.51625,6.53874,6.52468
-198.806,6.52251,6.53530,6.51625,6.53874,6.52468,-198.806,6.52251,6.53530,6.51625,6.53874,6.52468,-198.806,6.52251,6.53530,6.51625,6.53874,6.52468,-202.711,6.52251,6.53530,6.51625,6.53874,6.52468,-202.711,6.52251,6.53530,6.51625,6.53874,6.52468,-202.711,6.52251,6.53530,6.51625,6.53874,6.52468
-196.058,6.52251,6.53530,6.51625,6.53874,6.52468,-196.058,6.52251,6.53530,6.51625,6.53874,6.52468,-196.058,6.52251,6.53530,6.51625,6.53874,6.52468,-199.912,6.52251,6.53530,6.51625,6.53874,6.52468,-199.912,6.52251,6.53530,6.51625,6.53874,6.52468,-199.912,6.52251,6.53530,6.51625,6.53874,6.52468
-193.310,6.52251,6.53530,6.51625,6.53874,6.52468,-193.310,6.52251,6.53530,6.51625,6.53874,6.52468,-193.310,6.52251,6.53530,6.51625,6.53874,6.52468,-197.112,6.52251,6.53530,6.51625,6.53874,6.52468,-197.112,6.52251,6.53530,6.51625,6.53874,6.52468,-197.112,6.52251,6.53530,6.51625,6.53874,6.52468
-190.562,6.52251,6.53530,6.51625,6.53874,6.52468,-190.562,6.52251,6.53530,6.51625,6.53874,6.52468,-190.562,6.52251,6.53530,6.51625,6.53874,6.52468,-194.313,6.52251,6.53530,6.51625,6.53874,6.52468,-194.313,6.52251,6.53530,6.51625,6.53874,6.52468,-194.313,6.52251,6.53530,6.51625,6.53874,6.52468
-187.813,6.52251,6.53530,6.51625,6.53874,6.52468,-187.813,6.52251,6.53530,6.51625,6.53874,6.52468,-187.813,6.52251,6.53530,6.51625,6.53874,6.52468,-191.514,6.52251,6.53530,6.51625,6.53874,6.52468,-191.514,6.52251,6.53530,6.51625,6.53874,6.52468,-191.514,6.52251,6.53530,6.51625,6.53874,6.52468
-185.065,6.52251,6.53530,6.51625,6.53874,6.52468,-185.065,6.52251,6.53530,6.51625,6.53874,6.52468,-185.065,6.52251,6.53530,6.51625,6.53874,6.52468,-188.714,6.52251,6.53530,6.51625,6.53874,6.52468,-188.714,6.52251,6.53530,6.51625,6.53874,6.52468,-188.714,6.52251,6.53530,6.51625,6.53874,6.52468
-182.317,6.52251,6.53530,6.51625,6.53874,6.52468,-182.317,6.52251,6.53530,6.51625,6.53874,6.52468,-182.317,6.52251,6.53530,6.51625,6.53874,6.52468,-185.915,6.52251,6.53530,6.51625,6.53874,6.52468,-185.915,6.52251,6.53530,6.51625,6.53874,6.52468,-185.915,6.52251,6.53530,6.51625,6.53874,6.52468
-179.569,6.52251,6.53530,6.51625,6.53874,6.52468,-179.569,6.52251,6.53530,6.51625,6.53874,6.52468,-179.569,6.52251,6.53530,6.51625,6.53874,6.52468,-183.115,6.52251,6.53530,6.51625,6.53874,6.52468,-183.115,6.52251,6.53530,6.51625,6.53874,6.52468,-183.115,6.52251,6.53530,6.51625,6.53874,6.52468
-176.821,6.52251,6.53530,6.51625,6.53874,6.52468,-176.821,6.52251,6.53530,6.51625,6.53874,6.52468,-176.821,6.52251,6.53530,6.51625,6.53874,6.52468,-180.316,6.52251,6.53530,6.51625,6.53874,6.52468,-180.316,6.52251,6.53530,6.51625,6.53874,6.52468,-180.316,6.52251,6.53530,6.51625,6.53874,6.52468
-174.073,6.52251,6.53530,6.51625,6.53874,6.52468,-174.073,6.52251,6.53530,6.51625,6.53874,6.52468,-174.073,6.52251,6.53530,6.51625,6.53874,6.52468,-177.516,6.52251,6.53530,6.51625,6.53874,6.52468,-177.516,6.52251,6.53530,6.51625,6.53874,6.52468,-177.516,6.52251,6.53530,6.51625,6.53874,6.52468
-171.325,6.52251,6.53530,6.51625,6.53874,6.52468,-171.325,6.52251,6.53530,6.51625,6.53874,6.52468,-171.325,6.52251,6.53530,6.51625,6.53874,6.52468,-174.717,6.52251,6.53530,6.51625,6.53874,6.52468,-174.717,6.52251,6.53530,6.51625,6.53874,6.52468,-174.717,6.52251,6.53530,6.51625,6.53874,6.52468
-168.577,6.52251,6.53530,6.51625,6.53874,6.52468,-168.577,6.52251,6.53530,6.51625,6.53874,6.52468,-168.577,6.52251,6.53530,6.51625,6.53874,6.52468,-171.917,6.52251,6.53530,6.51625,6.53874,6.52468,-171.917,6.52251,6.53530,6.51625,6.53874,6.52468,-171.917,6.52251,6.53530,6.51625,6.53874,6.52468
-165.829,6.52251,6.53530,6.51625,6.53874,6.52468,-165.829,6.52251,6.53530,6.51625,6.53874,6.52468,-165.829,6.52251,6.53530,6.51625,6.53874,6.52468,-169.118,6.52251,6.53530,6.51625,6.53874,6.52468,-169.118,6.52251,6.53530,6.51625,6.53874,6.52468,-169.118,6.52251,6.53530,6.51625,6.53874,6.52468
-163.081,6.52251,6.53530,6.51625,6.53874,6.52468,-163.081,6.52251,6.53530,6.51625,6.53874,6.52468,-163.081,6.52251,6.53530,6.51625,6.53874,6.52468,-166.318,6.52251,6.53530,6.51625,6.53874,6.52468,-166.318,6.52251,6.53530,6.51625,6.53874,6.52468,-166.318,6.52251,6.53530,6.51625,6.53874,6.52468
-160.333,6.52251,6.53530,6.51625,6.53874,6.52468,-160.333,6.52251,6.53530,6.51625,6.53874,6.52468,-160.333,6.52251,6.53530,6.51625,6.53874,6.52468,-163.519,6.52251,6.53530,6.51625,6.53874,6.52468,-163.519,6.52251,6.53530,6.51625,6.53874,6.52468,-163.519,6.52251,6.53530,6.51625,6.53874,6.52468
-157.585,6.52251,6.53530,6.51625,6.53874,6.52468,-157.585,6.52251,6.53530,6.51625,6.53874,6.52468,-157.585,6.52251,6.53530,6.51625,6.53874,6.52468,-160.719,6.52251,6.53530,6.51625,6.53874,6.52468,-160.719,6.52251,6.53530,6.51625,6.53874,6.52468,-160.719,6.52251,6.53530,6.51625,6.53874,6.52468
-154.837,6.52251,6.53530,6.51625,6.53874,6.52468,-154.837,6.52251,6.53530,6.51625,6.53874,6.52468,-154.837,6.52251,6.53530,6.51625,6.53874,6.52468,-157.920,6.52251,6.53530,6.51625,6.53874,6.52468,-157.920,6.52251,6.53530,6.51625,6.53874,6.52468,-157.920,6.52251,6.53530,6.51625,6.53874,6.52468
-152.088,6.52251,6.53530,6.51625,6.53874,6.52468,-152.088,6.52251,6.53530,6.51625,6.53874,6.52468,-152.088,6.52251,6.53530,6.51625,6.53874,6.52468,-155.120,6.52251,6.53530,6.51625,6.53874,6.52468,-155.120,6.52251,6.53530,6.51625,6.53874,6.52468,-155.120,6.52251,6.53530,6.51625,6.53874,6.52468
-149.340,6.52251,6.53530,6.51625,6.53874,6.52468,-149.340,6.52251,6.53530,6.51625,6.53874,6.52468,-149.340,6.52251,6.53530,6.51625,6.53874,6.52468,-152.321,6.52251,6.53530,6.51625,6.53874,6.52468,-152.321,6.52251,6.53530,6.51625,6.53874,6.52468,-152.321,6.52251,6.53530,6.51625,6.53874,6.52468
-146.592,6.52251,6.53530,6.51625,6.53874,6.52468,-146.592,6.52251,6.53530,6.51625,6.53874,6.52468,-146.592,6.52251,6.53530,6.51625,6.53874,6.52468,-149.521,6.52251,6.53530,6.51625,6.53874,6.52468,-149.521,6.52251,6.53530,6.51625,6.53874,6.52468,-149.521,6.52251,6.53530,6.51625,6.53874,6.52468
-143.844,6.52251,6.53530,6.51625,6.53874,6.52468,-143.844,6.52251,6.53530,6.51625,6.53874,6.52468,-143.844,6.52251,6.53530,6.51625,6.53874,6.52468,-146.722,6.52251,6.53530,6.51625,6.53874,6.52468,-146.722,6.52251,6.53530,6.51625,6.53874,6.52468,-146.722,6.52251,6.53530,6.51625,6.53874,6.52468
