# Experiment IPTS-35338 Run 223939
# Reduction 2.3.0
# Run title: Sample6_CuOx_dTHF_-0,8_FullQ-223937-3.
# Run start time: 2025-10-27T09:59:48.566290667
# Reduction time: Mon Oct 27 06:47:51 2025
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0
# Meta:{"wl_min": 2.749748071586166, "wl_max": 9.498705705977628, "q_min": 0.08078253123945521, "q_max": 0.2790544698827273, "theta": 0.061100150397790945, "start_time": "2025-10-27T09:59:48.566290667", "experiment": "IPTS-35338", "run_number": "223939", "run_title": "Sample6_CuOx_dTHF_-0,8_FullQ-223937-3.", "norm_run": 223816, "time": "Mon Oct 27 06:47:51 2025", "dq0": 0, "dq_over_q": 0.02627207298138278, "sequence_number": 3, "sequence_id": 223937, "q_summing": false, "scaling_factors": {"a": 144.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B
# 223939    223816    7.00156        2.74975        9.49871      0.0807       0.2790       144.0        0           
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0823080094967131    0.0005878570669921    0.0000164087739017    0.0021624020324500
  0.0831310895916802    0.0005211944337543    0.0000149949952076    0.0021840260527745
  0.0839624004875970    0.0004994813739989    0.0000143488625831    0.0022058663133022
  0.0848020244924730    0.0004884038584165    0.0000138242141281    0.0022279249764353
  0.0856500447373977    0.0004453287931534    0.0000127109216513    0.0022502042261996
  0.0865065451847717    0.0004128720862203    0.0000117763369290    0.0022727062684616
  0.0873716106366194    0.0003639388159480    0.0000111409847842    0.0022954333311462
  0.0882453267429856    0.0003183306978915    0.0000099795494275    0.0023183876644577
  0.0891277800104155    0.0003363109728697    0.0000100351563272    0.0023415715411023
  0.0900190578105197    0.0003242457418845    0.0000098642251194    0.0023649872565133
  0.0909192483886248    0.0003299613798369    0.0000099118469240    0.0023886371290784
  0.0918284408725111    0.0003156130406348    0.0000092028229371    0.0024125235003692
  0.0927467252812362    0.0003315439624527    0.0000093112701539    0.0024366487353729
  0.0936741925340486    0.0003096703186633    0.0000087235071889    0.0024610152227266
  0.0946109344593891    0.0002941378272111    0.0000086085047285    0.0024856253749539
  0.0955570438039829    0.0002956209293459    0.0000083466723017    0.0025104816287034
  0.0965126142420228    0.0002506997281714    0.0000075503303017    0.0025355864449905
  0.0974777403844430    0.0002404668120375    0.0000070355584841    0.0025609423094404
  0.0984525177882875    0.0002154071973617    0.0000066384543921    0.0025865517325348
  0.0994370429661703    0.0001974178633275    0.0000063399950825    0.0026124172498601
  0.1004314133958320    0.0001859052810310    0.0000059110589361    0.0026385414223587
  0.1014357275297903    0.0001759907318247    0.0000056939532586    0.0026649268365823
  0.1024500848050882    0.0001656544534557    0.0000054466002075    0.0026915761049481
  0.1034745856531391    0.0001695556484061    0.0000054057589217    0.0027184918659976
  0.1045093315096705    0.0001733351136557    0.0000052500767177    0.0027456767846576
  0.1055544248247672    0.0001586236305973    0.0000050569539926    0.0027731335525042
  0.1066099690730149    0.0001507860486275    0.0000048394981729    0.0028008648880292
  0.1076760687637451    0.0001322956337347    0.0000043770845136    0.0028288735369095
  0.1087528294513825    0.0001293436142711    0.0000042921356278    0.0028571622722786
  0.1098403577458963    0.0001229441405910    0.0000040754342463    0.0028857338950014
  0.1109387613233553    0.0001130678065265    0.0000039795540965    0.0029145912339514
  0.1120481489365888    0.0000941838710652    0.0000035002189592    0.0029437371462909
  0.1131686304259547    0.0000848762602806    0.0000033670717139    0.0029731745177538
  0.1143003167302143    0.0000900717941435    0.0000033435100572    0.0030029062629314
  0.1154433198975164    0.0000866612109547    0.0000031624324541    0.0030329353255607
  0.1165977530964916    0.0000798852780420    0.0000030626779880    0.0030632646788163
  0.1177637306274565    0.0000812250337661    0.0000029207799039    0.0030938973256044
  0.1189413679337311    0.0000696848104304    0.0000028048527463    0.0031248362988605
  0.1201307816130684    0.0000691396038356    0.0000026744497473    0.0031560846618491
  0.1213320894291991    0.0000629359499625    0.0000025732702420    0.0031876455084676
  0.1225454103234911    0.0000503322199265    0.0000022936162121    0.0032195219635523
  0.1237708644267260    0.0000506551563664    0.0000022319375695    0.0032517171831878
  0.1250085730709932    0.0000420406925353    0.0000021058622518    0.0032842343550197
  0.1262586588017032    0.0000425779701706    0.0000020747124784    0.0033170766985699
  0.1275212453897202    0.0000370981347303    0.0000018885897415    0.0033502474655556
  0.1287964578436174    0.0000405342273571    0.0000018564556988    0.0033837499402111
  0.1300844224220536    0.0000381760063219    0.0000019078093807    0.0034175874396132
  0.1313852666462741    0.0000323833741465    0.0000016760281437    0.0034517633140094
  0.1326991193127369    0.0000290050955099    0.0000015941730325    0.0034862809471494
  0.1340261105058642    0.0000256136200473    0.0000015427544240    0.0035211437566209
  0.1353663716109229    0.0000224623073138    0.0000014613791538    0.0035563551941871
  0.1367200353270321    0.0000183479354690    0.0000013797404657    0.0035919187461290
  0.1380872356803025    0.0000158144433406    0.0000013228463862    0.0036278379335903
  0.1394681080371055    0.0000172165861537    0.0000012884219956    0.0036641163129262
  0.1408627891174765    0.0000181379867192    0.0000012314869198    0.0037007574760555
  0.1422714170086513    0.0000134776951514    0.0000011995737041    0.0037377650508160
  0.1436941311787378    0.0000119361687784    0.0000011830361121    0.0037751427013242
  0.1451310724905251    0.0000118437234938    0.0000011057728494    0.0038128941283374
  0.1465823832154304    0.0000079396874521    0.0000010283208779    0.0038510230696208
  0.1480482070475847    0.0000075641602705    0.0000009740640523    0.0038895333003170
  0.1495286891180606    0.0000080473345724    0.0000009424708137    0.0039284286333202
  0.1510239760092412    0.0000079165610084    0.0000008987044057    0.0039677129196534
  0.1525342157693336    0.0000063019722680    0.0000008463377395    0.0040073900488499
  0.1540595579270269    0.0000068290701384    0.0000008856608171    0.0040474639493384
  0.1556001535062972    0.0000047235967844    0.0000008787279353    0.0040879385888318
  0.1571561550413602    0.0000047295012222    0.0000008519825102    0.0041288179747201
  0.1587277165917738    0.0000038181444948    0.0000008020136354    0.0041701061544673
  0.1603149937576915    0.0000035137738231    0.0000007654643534    0.0042118072160120
  0.1619181436952684    0.0000027031114328    0.0000007285989837    0.0042539252881721
  0.1635373251322211    0.0000024031739508    0.0000006981508981    0.0042964645410538
  0.1651726983835433    0.0000018965089979    0.0000007022961287    0.0043394291864644
  0.1668244253673788    0.0000026557070970    0.0000006862234577    0.0043828234783290
  0.1684926696210526    0.0000016846392931    0.0000007045427707    0.0044266517131123
  0.1701775963172631    0.0000016413283984    0.0000006666799970    0.0044709182302434
  0.1718793722804357    0.0000012582624516    0.0000006714947878    0.0045156274125459
  0.1735981660032401    0.0000018780134960    0.0000006851336447    0.0045607836866713
  0.1753341476632725    0.0000007471655899    0.0000006649244954    0.0046063915235380
