# Experiment IPTS-36897 Run 226605
# Reduction 2.9.0rc3
# Run title: sample2_tnr_-50_uA-226605-2.
# Run start time: 2026-03-29T00:28:39.886753667
# Reduction time: Sat Mar 28 21:24:00 2026
# Q summing: False
# TOF weighted: False
# Bck in Q: False
# Theta offset: 0.0
# Stitching type: None
# Meta:{"wl_min": 2.7497817553595083, "wl_max": 9.498672022204286, "q_min": 0.02769164440405162, "q_max": 0.09565626342415155, "theta": 0.020933097312240013, "start_time": "2026-03-29T00:28:39.886753667", "experiment": "IPTS-36897", "run_number": "226605", "run_title": "sample2_tnr_-50_uA-226605-2.", "norm_run": 226560, "time": "Sat Mar 28 21:24:00 2026", "dq0": 0, "dq_over_q": 0.021923918903022997, "sequence_number": 2, "sequence_id": 226605, "q_summing": false, "specular_pixel": 149.0, "use_functional_bck": false, "scaling_factors": {"a": 25.0, "err_a": 0, "b": 0, "err_b": 0}, "tof_weighted": false, "bck_in_q": false, "theta_offset": 0.0}
# DataRun   NormRun   TwoTheta(deg)  LambdaMin(A)   LambdaMax(A) Qmin(1/A)    Qmax(1/A)    SF_A         SF_B          SF
# 226605    226560    2.39876        2.74978        9.49867      0.0276       0.0956       25.0         0            1.0         
# Q [1/Angstrom]        R                     dR                    dQ [FWHM]            
  0.0278727378306605    0.0112412372142512    0.0016429826794828    0.0006110796438046
  0.0280121015198138    0.0143022295378379    0.0007502370386661    0.0006141350420236
  0.0281521620274129    0.0140832147567281    0.0007157656311817    0.0006172057172338
  0.0282929228375499    0.0143990928372935    0.0007017601162450    0.0006202917458199
  0.0284343874517377    0.0155119797454164    0.0007686370906170    0.0006233932045490
  0.0285765593889964    0.0158890373467195    0.0007677576924268    0.0006265101705718
  0.0287194421859414    0.0163939265181467    0.0007966945538119    0.0006296427214246
  0.0288630393968711    0.0164122005573422    0.0007755069906153    0.0006327909350318
  0.0290073545938554    0.0175814897750814    0.0008554014312373    0.0006359548897069
  0.0291523913668247    0.0174379056994633    0.0008216232582694    0.0006391346641555
  0.0292981533236588    0.0178728376104794    0.0008367895615749    0.0006423303374762
  0.0294446440902771    0.0170894718911266    0.0007629496983323    0.0006455419891636
  0.0295918673107285    0.0170829194594110    0.0007602199078563    0.0006487696991094
  0.0297398266472821    0.0168943034631326    0.0007437077312647    0.0006520135476050
  0.0298885257805185    0.0167354907706191    0.0007379371749436    0.0006552736153430
  0.0300379684094211    0.0159367782755261    0.0006842833774144    0.0006585499834197
  0.0301881582514682    0.0167085704806735    0.0007294290487339    0.0006618427333368
  0.0303390990427256    0.0161536665968408    0.0006930846193462    0.0006651519470035
  0.0304907945379392    0.0148896537928648    0.0006297914150600    0.0006684777067385
  0.0306432485106289    0.0146556276258839    0.0006234258199323    0.0006718200952722
  0.0307964647531820    0.0132418589250774    0.0005460499475483    0.0006751791957486
  0.0309504470769479    0.0128187293863283    0.0005293369796787    0.0006785550917273
  0.0311051993123327    0.0112428667907308    0.0004503796335787    0.0006819478671859
  0.0312607253088943    0.0112568233274029    0.0004621928431830    0.0006853576065219
  0.0314170289354388    0.0110458201702585    0.0004549592580971    0.0006887843945545
  0.0315741140801160    0.0097373971798151    0.0003901610470162    0.0006922283165273
  0.0317319846505165    0.0091140195461396    0.0003605183149454    0.0006956894581099
  0.0318906445737691    0.0089805109791009    0.0003601737667695    0.0006991679054004
  0.0320500977966380    0.0088196603133529    0.0003573845509701    0.0007026637449274
  0.0322103482856212    0.0078108659973066    0.0003065040708573    0.0007061770636521
  0.0323714000270493    0.0076686706035106    0.0002993848513681    0.0007097079489703
  0.0325332570271845    0.0069184566910122    0.0002655205541218    0.0007132564887152
  0.0326959233123204    0.0072411545407941    0.0002780884526929    0.0007168227711588
  0.0328594029288820    0.0070762939323296    0.0002715065015265    0.0007204068850146
  0.0330236999435264    0.0067258932971969    0.0002494352059915    0.0007240089194396
  0.0331888184432441    0.0069333258687228    0.0002549695602224    0.0007276289640368
  0.0333547625354603    0.0068224943694685    0.0002480833752074    0.0007312671088570
  0.0335215363481376    0.0074539572733719    0.0002680626165877    0.0007349234444013
  0.0336891440298783    0.0073724166215050    0.0002675444158798    0.0007385980616233
  0.0338575897500276    0.0075997157097111    0.0002687339556805    0.0007422910519314
  0.0340268776987778    0.0076670032408975    0.0002703615775085    0.0007460025071911
  0.0341970120872717    0.0079784192549745    0.0002778725930266    0.0007497325197270
